title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Audio Details,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Package Dimensions,tech_Number of USB 2.0 Ports,tech_Optical Drive Type,tech_Memory Clock Speed,tech_Number of USB 3.0 Ports,tech_Power Source,tech_Average Battery Standby Life (in hours),tech_Lithium Battery Weight,tech_Number of Lithium Metal Cells
"HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu","52,990",https://www.amazon.in/HP-Keyboard-15-6-inch-fy5009TU-fd0111tu/dp/B0D4M66F6R/ref=sr_1_1?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.RRBNxudsrp7LRNvU0dgl_3kkC1IIsVYkge9aiT_eSdM&dib_tag=se&qid=1737540219&s=computers&sr=1-1,2025-01-22 15:35:35,HP,HP,HP 15s,"Silver, 16GB RAM",Laptop,52 Centimeters,31.2 Centimeters,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,6.9 x 31.2 x 52 cm; 2.42 kg,1 Lithium Ion batteries required. (included),A28GDPA,Intel,Intel Core i5,4.4 GHz,1,16,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,USB,Headphones,dual speakers,Intel Iris Xe Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Bluetooth,1,11.25 Volts,41 Watt Hours,Windows 11 Home,7 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,2 kg 420 g,B0D4M66F6R,"3.8
250 ratings
3.8 out of 5 stars","#211 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1 in Traditional Laptops",20 May 2024,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030",6.9 x 31.2 x 52 Centimeters,1 Count,Laptop,,,,,,,,,
"HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU","55,490",https://www.amazon.in/HP-i5-1334U-Anti-glare-15-6-inch-Graphics/dp/B0D4LWYWF9/ref=sr_1_2?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.RRBNxudsrp7LRNvU0dgl_3kkC1IIsVYkge9aiT_eSdM&dib_tag=se&qid=1737540219&s=computers&sr=1-2,2025-01-22 15:35:35,HP,HP,HP Laptop,Silver - MSO 2021,Laptop,52.3 Centimeters,31.1 Centimeters,15.6 Inches,1920 x 1080 pixel,,6.7 x 31.1 x 52.3 cm; 2.42 kg,1 Lithium Polymer batteries required. (included),A4KF0PA,Intel,Intel Core i5,4.6 GHz,1,16,DDR4,,16 GB,512 GB,SSD,USB-C,Headphones,,Intel Iris Xe Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Bluetooth,1,240 Volts,,Windows 11 Home,9 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,2 kg 420 g,B0D4LWYWF9,"3.6
54 ratings
3.6 out of 5 stars","#212 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2 in Traditional Laptops",20 May 2024,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030",6.7 x 31.1 x 52.3 Centimeters,1 Count,Laptop,,,,,,,,,
"ASUS Vivobook 16"" FHD+ (1920 X 1200), 60Hz 300Nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris X? Graphics/Win 11/Office Home/Fingerprint/42Whr Battery/Transparent Silver/1.88Kg), X1605ZAC-MB541WS","51,990",https://www.amazon.in/ASUS-i5-12500H-Fingerprint-Transparent-X1605ZAC-MB541WS/dp/B0DGLCTZXX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.RRBNxudsrp7LRNvU0dgl_3kkC1IIsVYkge9aiT_eSdM&dib_tag=se&qid=1737540219&s=computers&sr=1-3,2025-01-22 15:35:35,ASUS,ASUS,ASUS Vivobook 16,Silver,Laptop,,,16 Inches,1920 x 1200 pixel,1920 x 1200 Pixels,,1 Lithium Ion batteries required. (included),X1605ZAC-MB541WS,Intel,Core i5-12500H,2.5 GHz,12,16 GB,DDR4,,16 GB,512 GB,,USB,,,Intel Iris Xe Graphics,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Bluetooth,,,,Windows 11 Home,42 Watt Hours,Yes,42 Watt Hours,3,"Laptop, Charger & User Manual",China,1 kg 880 g,B0DGLCTZXX,"3.9
41 ratings
3.9 out of 5 stars","#311 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3 in Traditional Laptops",10 September 2024,"DIGITEK (CHONGQING) LIMITED B01 SEC C AIRPORT FUNCTION ZONE LIANGLU CUNTAN FREE TRADE PORT AREA, YUBEI DISTRICT CHONGQING CHINA","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,Laptop,48.7 x 30.9 x 6.9 cm; 1.88 kg,1,No Optical Storage,,,,,,
"Dell 15 [Smartchoice] Intel Core i3-1215U Processor, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm) Display/15 Month McAfee/Black/1.69kg Thin & Light Laptop","34,990",https://www.amazon.in/Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_4?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.RRBNxudsrp7LRNvU0dgl_3kkC1IIsVYkge9aiT_eSdM&dib_tag=se&qid=1737540219&s=computers&sr=1-4,2025-01-22 15:35:35,Dell,Dell,Vostro,i3-1215U + Black,laptop,22 Millimeters,35.8 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 x 1080,23.5 x 35.8 x 2.2 cm; 1.69 kg,1 Lithium Ion batteries required. (included),Vostro 3520,Intel,Core i3 Family,0.9 GHz,1,8 GB,DDR4,,16 GB,512 GB,SSD,Solid State,Speakers,,INTEGRATED,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",,,240 Volts,65 Watts,Windows 11 Home,10 Hours,Yes,2.6 Watt Hours,3,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,1 kg 690 g,B0BQJ68HHC,"3.6
830 ratings
3.6 out of 5 stars","#400 in Computers & Accessories (See Top 100 in Computers & Accessories)
#4 in Traditional Laptops",19 December 2022,Dell India Pvt Ltd,Dell India Pvt Ltd,23.5 x 35.8 x 2.2 Centimeters,1 Count,Laptop,,1,No Optical Drive,2666 MHz,2,Battery Powered,10 Hours,,
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","33,490",https://www.amazon.in/Acer-5-5625U-Premium-Windows-AL15-41/dp/B0DG2GCTD7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.RRBNxudsrp7LRNvU0dgl_3kkC1IIsVYkge9aiT_eSdM&dib_tag=se&qid=1737540219&s=computers&sr=1-5,2025-01-22 15:35:35,Acer,Acer,Aspire Lite,Steel Gray,Laptop,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),AL15-41,AMD,Ryzen 5,2.3 GHz,1,16 GB,DDR4,DDR4 SDRAM,16 GB,,SSD,Solid State,Speakers,,AMD Radeon Graphics,AMD,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Bluetooth,,240 Volts,45 Watts,Windows 11 Home,,Yes,36 Watt Hours,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",China,1 kg 590 g,B0DG2GCTD7,"3.8
113 ratings
3.8 out of 5 stars","#424 in Computers & Accessories (See Top 100 in Computers & Accessories)
#6 in Traditional Laptops",2 September 2024,"ACER INDIA PRIVATE LIMITED, RS No.38/2, Sedarpet Village, Villanur Commune, Poducherry - 605111.","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13, Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",,1 Count,Laptop,48.8 x 32.2 x 8.6 cm; 1.59 kg,2,,,2,,,0.5 Grams,3
